name,time,cpus,ipc,ghz,bandwidth,cycles,llc-misses,l1-misses,instr.,task-clock,vectorsize,threads,filename,mcalefactor,machine,mompiler,l1-hits,br. misses
q1 hyper     ,45.824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q1 vectorwise,462.771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q3 hyper     ,38.876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q3 vectorwise,205.807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q5 hyper     ,38.517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q5 vectorwise,161.163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q6 hyper     ,15.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q6 vectorwise,145.951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q9 hyper     ,108.807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q9 vectorwise,372.071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q18 hyper     ,96.366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q18 vectorwise,6134.775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,gcc,,
q1 hyper     ,461.963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q1 vectorwise,4662.886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q3 hyper     ,484.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q3 vectorwise,2308.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q5 hyper     ,481.496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q5 vectorwise,1797.916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q6 hyper     ,165.214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q6 vectorwise,1380.026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q9 hyper     ,1727.886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q9 vectorwise,5548.924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q18 hyper     ,1257.039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q18 vectorwise,62960.624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,gcc,,
q1 hyper     ,45.824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q1 vectorwise,462.771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q3 hyper     ,38.876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q3 vectorwise,205.807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q5 hyper     ,38.517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q5 vectorwise,161.163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q6 hyper     ,15.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q6 vectorwise,145.951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q9 hyper     ,108.807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q9 vectorwise,372.071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q18 hyper     ,96.366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q18 vectorwise,6134.775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q1 hyper     ,461.963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q1 vectorwise,4662.886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q3 hyper     ,484.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q3 vectorwise,2308.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q5 hyper     ,481.496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q5 vectorwise,1797.916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q6 hyper     ,165.214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q6 vectorwise,1380.026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q9 hyper     ,1727.886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q9 vectorwise,5548.924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q18 hyper     ,1257.039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q18 vectorwise,62960.624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q1 hyper     ,45.796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q1 vectorwise,463.264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q3 hyper     ,39.052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q3 vectorwise,206.862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q5 hyper     ,38.465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q5 vectorwise,165.342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q6 hyper     ,15.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q6 vectorwise,159.378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q9 hyper     ,109.599,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q9 vectorwise,375.645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q18 hyper     ,96.964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q18 vectorwise,6441.415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,1,roquefort,clang,,
q1 hyper     ,456.093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q1 vectorwise,4667.937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q3 hyper     ,492.016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q3 vectorwise,2315.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q5 hyper     ,462.898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q5 vectorwise,1814.091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q6 hyper     ,165.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q6 vectorwise,1569.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q9 hyper     ,1721.178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q9 vectorwise,5618.135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q18 hyper     ,1252.312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q18 vectorwise,64276.777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1_1.csv,10,roquefort,clang,,
q1 hyper     ,414.144,1.0,1.393,2.989,0.0,206.197,,0.267,287.181,68.979,1,1,1_1.csv,1,burrata,gcc,102.736,0.015
q1 vectorwise,652.299,1.0,2.82,2.995,0.0,325.355,,0.33,917.532,108.647,1,1,1_1.csv,1,burrata,gcc,356.151,0.015
q3 hyper     ,185.955,0.999,1.362,2.938,0.0,71.369,,0.316,97.231,24.288,1,1,1_1.csv,1,burrata,gcc,27.968,0.293
