machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8818.095,54095.48,0.0,0.0,348274.0,147026340574.0,447235087487.0,,91590082.0,200693683270.0,1404157289.0,2125669365.0,2123589575.0,74359160777.0,423849.0,201561695945.0,45542639.0,5421253824.0,1799.0,,
parmesan,clang,0,1,hyper,1,q1 hyper,4150.519,26179.17,0.0,0.0,348345.0,68439807722.0,275523498932.0,,51169948.0,133986114820.0,1117215962.0,2119441331.0,2110645595.0,40207724921.0,145038.0,133829733393.0,36712525.0,2976716773.0,3099.0,,
parmesan,gcc,0,1,hyper,1,q1 hyper,4151.563,26069.88,0.0,0.0,348358.0,68773486671.0,276217744984.0,,51126570.0,133803493900.0,1109229051.0,2112277268.0,2108953473.0,40224046615.0,193345.0,134531252099.0,37375235.0,2936937012.0,8139.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8820.563,54416.71,0.0,0.0,348276.0,148245750949.0,447047977056.0,,90905747.0,200352233754.0,1476163884.0,2118927480.0,2116199053.0,73982514313.0,469901.0,200495151089.0,46309391.0,5399970877.0,936.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4422.379,54553.71,0.0,0.0,361390.0,147590944527.0,447297015637.0,,90388463.0,200520336715.0,1425044842.0,2183015563.0,2180102293.0,73901594149.0,486333.0,199938014395.0,58140694.0,5369416606.0,1885.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2071.22,26039.33,0.0,0.0,348309.0,68842416586.0,277232072027.0,,51248736.0,133783487089.0,1106896445.0,2103910138.0,2098969611.0,39723234960.0,136368.0,132935916141.0,37990065.0,2941443496.0,1412.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2077.591,26110.31,0.0,0.0,348307.0,68795612066.0,276444865174.0,,51192754.0,134011970600.0,1110997048.0,2110829210.0,2105273899.0,39880039863.0,138725.0,133242633210.0,37609190.0,2934882007.0,1694.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4424.474,54454.87,0.0,0.0,359242.0,147296948133.0,446906586644.0,,90211614.0,200418149421.0,1382100051.0,2181163981.0,2180332317.0,74126387450.0,462357.0,201559264496.0,54976750.0,5401078379.0,3589.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2944.664,54352.55,0.0,0.0,357695.0,146981942594.0,447333998673.0,,90922877.0,200888158099.0,1354217771.0,2191404377.0,2187140158.0,73989000921.0,519572.0,200300574480.0,45997814.0,5351922243.0,729.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1380.518,26047.23,0.0,0.0,348372.0,68526232418.0,275879761475.0,,51046406.0,132550044923.0,1095086331.0,2095786189.0,2095658518.0,40236687066.0,146347.0,134671518428.0,37374523.0,2936447222.0,5994.0,,
parmesan,gcc,0,1,hyper,3,q1 hyper,1384.14,26128.83,0.0,0.0,348367.0,68904092194.0,276176728040.0,,50980075.0,133379564550.0,1103256707.0,2102227651.0,2083915427.0,39609824687.0,129429.0,134729965445.0,37406481.0,2945627529.0,4459.0,,
parmesan,gcc,0,1,vectorwise,3,q1 vectorwise,2944.77,54387.75,0.0,0.0,357592.0,146508273345.0,445535832207.0,,90674178.0,200680440446.0,1351262759.0,2194817459.0,2190515865.0,74506354062.0,508680.0,200321626655.0,47448972.0,5344368792.0,915.0,,
parmesan,gcc,0,1,hyper,4,q1 hyper,1058.611,26618.34,0.0,0.0,348428.0,69791394779.0,275301656668.0,,50996525.0,133617483307.0,1110055135.0,2111719924.0,2105988287.0,40012929569.0,165853.0,134440883061.0,37456747.0,2933875850.0,4003.0,,
parmesan,gcc,0,1,vectorwise,4,q1 vectorwise,2213.702,54512.26,0.0,0.0,361533.0,147520108897.0,447290161726.0,,90142478.0,200434390034.0,1370356176.0,2184919257.0,2182787324.0,73697834728.0,516069.0,199970051225.0,45778417.0,5402989806.0,7146.0,,
parmesan,clang,0,1,vectorwise,4,q1 vectorwise,2217.276,54589.25,0.0,0.0,364172.0,147629947908.0,447163473325.0,,90603603.0,200423054817.0,1388949274.0,2185383950.0,2183614884.0,73783780300.0,526592.0,199840585573.0,45140324.0,5386958912.0,8987.0,,
parmesan,clang,0,1,hyper,4,q1 hyper,1035.711,26059.08,0.0,0.0,348424.0,67853773749.0,273560271782.0,,50636674.0,132763946927.0,1095971551.0,2111469892.0,2106093870.0,40165986837.0,163478.0,134347479491.0,37407065.0,2913720276.0,2973.0,,
parmesan,gcc,0,1,vectorwise,5,q1 vectorwise,1769.448,54415.34,0.0,0.0,349868.0,146791208960.0,446388681706.0,,90755422.0,200705259133.0,1364812431.0,2194932598.0,2190637392.0,74210403370.0,474459.0,200418633656.0,44971289.0,5403938249.0,7049.0,,
parmesan,gcc,0,1,hyper,5,q1 hyper,828.52,26053.94,0.0,0.0,348491.0,68563775811.0,276722620524.0,,51217647.0,133927834419.0,1103296680.0,2104829390.0,2098179304.0,40004464828.0,148725.0,134352566357.0,37775487.0,2920446057.0,6908.0,,
parmesan,clang,0,1,hyper,5,q1 hyper,827.783,26080.49,0.0,0.0,348490.0,68319856361.0,275715275593.0,,51004490.0,133850826789.0,1101627121.0,2109107022.0,2102103404.0,39721812325.0,126913.0,134221559260.0,37524716.0,2908208380.0,6889.0,,
parmesan,clang,0,1,vectorwise,5,q1 vectorwise,1770.051,54420.87,0.0,0.0,349859.0,146921939597.0,446749164983.0,,90722494.0,200849663632.0,1368933507.0,2191171488.0,2187831001.0,74214803768.0,480533.0,200390946477.0,45321122.0,5320339461.0,6778.0,,
parmesan,clang,0,1,vectorwise,6,q1 vectorwise,1473.547,54377.52,0.0,0.0,352476.0,147135303273.0,447713330616.0,,90381693.0,200816175731.0,1369392239.0,2191741894.0,2186432132.0,74459796557.0,459690.0,201352908360.0,44651835.0,5386381957.0,9228.0,,
parmesan,clang,0,1,hyper,6,q1 hyper,690.937,26080.41,0.0,0.0,348545.0,67783575675.0,273355060044.0,,50626631.0,132741278410.0,1103938854.0,2108764644.0,2103225923.0,40152962813.0,132851.0,134334725155.0,37728959.0,2867897485.0,7035.0,,
parmesan,gcc,0,1,hyper,6,q1 hyper,692.296,26134.02,0.0,0.0,348538.0,67852033332.0,273019572846.0,,50535615.0,132565959265.0,1094673928.0,2109144624.0,2103253294.0,40155877280.0,136221.0,134347053040.0,37635123.0,2864971037.0,6462.0,,
parmesan,gcc,0,1,vectorwise,6,q1 vectorwise,1478.964,54674.16,0.0,0.0,352718.0,148061770509.0,450597968759.0,,90160115.0,200584505162.0,1392553934.0,2180088289.0,2177582477.0,74596399402.0,512601.0,201632107989.0,45014919.0,5397654041.0,7234.0,,
parmesan,gcc,0,1,vectorwise,7,q1 vectorwise,1265.6,54619.35,0.0,0.0,350463.0,147742131274.0,450316925676.0,,90762992.0,200756799759.0,1372052192.0,2179198833.0,2177858763.0,74092013466.0,517298.0,199908328784.0,44955346.0,5382212319.0,15271.0,,
parmesan,gcc,0,1,hyper,7,q1 hyper,597.035,26259.71,0.0,0.0,348601.0,69484463963.0,276934634254.0,,51072461.0,133416977122.0,1094642308.0,2102098536.0,2099822155.0,39962291590.0,196710.0,133956552173.0,37484345.0,2931678622.0,9240.0,,
parmesan,clang,0,1,hyper,7,q1 hyper,591.341,26042.03,0.0,0.0,348595.0,68559945612.0,275672098674.0,,50876193.0,133073554166.0,1079890193.0,2087443742.0,2091960914.0,40101104401.0,199312.0,135076651743.0,37643217.0,2924799735.0,8515.0,,
parmesan,clang,0,1,vectorwise,7,q1 vectorwise,1265.586,54494.02,0.0,0.0,350388.0,147463237935.0,447107750510.0,,90021027.0,200427964158.0,1376422809.0,2164842134.0,2165574121.0,73566738787.0,513086.0,199555181564.0,44645032.0,5394145516.0,9095.0,,
parmesan,gcc,0,1,hyper,8,q1 hyper,519.923,26156.78,0.0,0.0,348664.0,68432516075.0,275682077976.0,,51143337.0,134411262279.0,1110453331.0,2112559934.0,2103617095.0,39742981845.0,155877.0,132657522570.0,37704787.0,2958890514.0,7369.0,,
parmesan,gcc,0,1,vectorwise,8,q1 vectorwise,1109.167,54631.1,0.0,0.0,361657.0,145814350612.0,442610153828.0,,89660877.0,199138246540.0,1379557729.0,2181453971.0,2189317146.0,74458689997.0,499247.0,201371616192.0,43787813.0,5451517916.0,5950.0,,
parmesan,clang,0,1,vectorwise,8,q1 vectorwise,1108.381,54687.41,0.0,0.0,360043.0,147492211763.0,449685524157.0,,89232891.0,199142555648.0,1369207384.0,2169944582.0,2170143110.0,74595509232.0,501980.0,201581006337.0,44466485.0,5431296946.0,12422.0,,
parmesan,clang,0,1,hyper,8,q1 hyper,519.672,26152.34,0.0,0.0,348661.0,68514334834.0,275643414921.0,,51096679.0,134151199756.0,1127231076.0,2108744857.0,2101203063.0,39738667550.0,196018.0,132796193130.0,37935914.0,2897768143.0,6352.0,,
