machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,gcc,0,1,hyper,1,q1 hyper,4150.806,26062.75,0.0,0.0,348352.0,68706617693.0,276240309881.0,,51106306.0,133832572575.0,1114717176.0,2111801300.0,2108759101.0,40216302724.0,193397.0,134500737492.0,37322675.0,2937130149.0,1775.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8816.555,54060.97,0.0,0.0,348276.0,147027554258.0,447864829072.0,,90455219.0,201026388643.0,1378894238.0,2125691712.0,2121709267.0,74427968160.0,418745.0,201348974975.0,45811840.0,5328073786.0,1998.0,,
parmesan,clang,0,1,hyper,1,q1 hyper,4140.733,26015.91,0.0,0.0,348371.0,68592630567.0,276349343846.0,,51047431.0,133884990029.0,1112144497.0,2111947755.0,2107499757.0,40180045339.0,191810.0,134425783400.0,36836191.0,2929471641.0,2167.0,,
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8803.574,54297.53,0.0,0.0,348278.0,147880304676.0,447343785190.0,,91384905.0,200600968948.0,1460025424.0,2120787451.0,2117132625.0,74075335466.0,462078.0,201062738546.0,46187037.0,5394822307.0,2184.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4426.538,54558.86,0.0,0.0,358238.0,147742957198.0,447416704942.0,,90242045.0,200657919523.0,1399606972.0,2184719640.0,2181753967.0,73906724457.0,486193.0,200335285527.0,56399849.0,5367182599.0,4407.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2070.087,26028.26,0.0,0.0,348309.0,68846622647.0,276954861068.0,,51145671.0,133651940259.0,1100987547.0,2102514643.0,2099004054.0,39772324596.0,133528.0,133126560196.0,37802382.0,2941532133.0,1118.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4428.124,54496.48,0.0,0.0,359754.0,147587984618.0,447283664957.0,,90842047.0,200435382945.0,1381411173.0,2182562923.0,2180731982.0,74015592738.0,458208.0,201425477857.0,55988837.0,5405064934.0,4723.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2070.154,26038.03,0.0,0.0,348308.0,68838656309.0,277007941187.0,,51183491.0,133683146147.0,1107479440.0,2102891911.0,2099361671.0,39762504514.0,119993.0,133067622555.0,37756737.0,2941771874.0,1143.0,,
parmesan,gcc,0,1,hyper,3,q1 hyper,1384.166,26103.12,0.0,0.0,348369.0,68797922783.0,275986191814.0,,50983536.0,133330819964.0,1103026000.0,2087905906.0,2088009211.0,39683111326.0,132279.0,134914161715.0,37377010.0,2941372646.0,4634.0,,
parmesan,gcc,0,1,vectorwise,3,q1 vectorwise,2946.16,54410.23,0.0,0.0,357650.0,146803851665.0,446175072683.0,,91228640.0,200701695066.0,1359110083.0,2192906803.0,2189391287.0,74406050805.0,513222.0,200411344226.0,46357691.0,5405401656.0,1048.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1384.815,26108.87,0.0,0.0,348368.0,68854896114.0,276119122043.0,,51027264.0,133382999151.0,1102978483.0,2086668462.0,2086993945.0,39690087259.0,115613.0,134876600326.0,37571657.0,2945823941.0,4544.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2946.847,54402.82,0.0,0.0,358058.0,146569739042.0,446695634954.0,,90695830.0,200720792738.0,1370564717.0,2192952692.0,2188585955.0,74133497693.0,508866.0,200306812830.0,45793897.0,5323771871.0,1050.0,,
parmesan,gcc,0,1,hyper,4,q1 hyper,1035.248,26026.06,0.0,0.0,348429.0,67899847687.0,273990382977.0,,50745472.0,132930433847.0,1096905275.0,2110187112.0,2105064141.0,40124580827.0,153027.0,134305280607.0,37364064.0,2917568898.0,2918.0,,
parmesan,gcc,0,1,vectorwise,4,q1 vectorwise,2210.88,54493.5,0.0,0.0,362256.0,147392733194.0,447074770451.0,,90413367.0,200361344710.0,1375658985.0,2185887950.0,2183413994.0,73790410996.0,514163.0,200055029850.0,45875483.0,5346027625.0,7658.0,,
parmesan,clang,0,1,hyper,4,q1 hyper,1035.009,26028.73,0.0,0.0,348424.0,67743969247.0,273345366141.0,,50582564.0,132658543097.0,1100426720.0,2097735347.0,2108565056.0,40178682910.0,156360.0,134493579924.0,37436327.0,2929947205.0,2727.0,,
parmesan,clang,0,1,vectorwise,4,q1 vectorwise,2212.974,54496.03,0.0,0.0,360274.0,147372315830.0,446950534097.0,,90502162.0,200384202293.0,1369865551.0,2187926815.0,2175048266.0,73956477801.0,501597.0,200151568511.0,45962571.0,5433601077.0,5688.0,,
parmesan,gcc,0,1,vectorwise,5,q1 vectorwise,1772.301,54556.77,0.0,0.0,350173.0,147218239688.0,448387490397.0,,90872278.0,200356213376.0,1378427154.0,2185881557.0,2184884422.0,74535221431.0,477193.0,200846709934.0,45625735.0,5422111824.0,6419.0,,
parmesan,gcc,0,1,hyper,5,q1 hyper,830.281,26099.72,0.0,0.0,348488.0,68576327737.0,276155652527.0,,51080342.0,133947984228.0,1098982745.0,2107045486.0,2100528167.0,40115686901.0,163313.0,134302481488.0,37384734.0,2925341505.0,6837.0,,
parmesan,clang,0,1,vectorwise,5,q1 vectorwise,1771.008,54592.77,0.0,0.0,350447.0,147727163881.0,449130246804.0,,91667214.0,201026310681.0,1372096845.0,2176986884.0,2175199457.0,74620838149.0,471508.0,201538599231.0,45100801.0,5446050900.0,6393.0,,
parmesan,clang,0,1,hyper,5,q1 hyper,829.293,26068.72,0.0,0.0,348489.0,68557751331.0,276449332516.0,,51191498.0,134040022340.0,1106306607.0,2106185660.0,2099602720.0,40060276291.0,171008.0,134300896204.0,37121054.0,2917974913.0,6775.0,,
