machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,hyper,1,q1 hyper,4171.007,26302.69,0.0,0.0,348382.0,69217889871.0,277540274049.0,,51503157.0,134515828558.0,1130404429.0,2105332011.0,2096757727.0,39576090958.0,199028.0,133556810488.0,37198330.0,2969166961.0,2255.0,,
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8821.156,54426.03,0.0,0.0,348275.0,148230333350.0,446864521524.0,,92284379.0,200247876616.0,1478381552.0,2120025831.0,2116737173.0,73963580249.0,459728.0,200556986268.0,46679891.0,5373638800.0,825.0,,
parmesan,gcc,0,1,hyper,1,q1 hyper,4151.464,26072.69,0.0,0.0,348388.0,68770610129.0,276209952730.0,,51110673.0,133809562345.0,1117625461.0,2112328615.0,2108983138.0,40238219796.0,191976.0,134518190796.0,36912008.0,2935395465.0,8587.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8819.859,54122.38,0.0,0.0,348275.0,147181844214.0,447303640153.0,,89830373.0,200614508397.0,1375971848.0,2123008923.0,2120969605.0,73963148392.0,458071.0,200996399903.0,45985015.0,5257828686.0,2586.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4414.463,54335.62,0.0,0.0,359265.0,146932480213.0,446794547929.0,,91235017.0,200359808453.0,1365068464.0,2186962558.0,2185850732.0,74403690365.0,459085.0,201387427562.0,58936726.0,5411448183.0,3903.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2075.246,26099.83,0.0,0.0,348308.0,68770605325.0,276544117318.0,,51199968.0,133996569236.0,1102238847.0,2109420859.0,2103830019.0,39818406802.0,130604.0,133217021606.0,38034729.0,2930463333.0,1925.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4412.953,54437.95,0.0,0.0,360252.0,147463607674.0,447065755026.0,,89694259.0,200410348654.0,1403128871.0,2186551549.0,2184114831.0,73993154744.0,483755.0,200391961056.0,57906718.0,5382010987.0,1592.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2068.787,26011.82,0.0,0.0,348312.0,68794500884.0,276883583249.0,,51177945.0,133612370630.0,1104038478.0,2102384370.0,2098938387.0,39786624226.0,140239.0,133186981023.0,37792899.0,2943616041.0,1409.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1384.947,26107.5,0.0,0.0,348371.0,68828987860.0,275945869784.0,,50976998.0,133348060633.0,1105376231.0,2088404216.0,2088805926.0,40211032563.0,129730.0,134968229160.0,37779712.0,2940203397.0,5042.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2946.606,54384.97,0.0,0.0,357568.0,146917063785.0,446985391822.0,,90196945.0,200790293997.0,1354572381.0,2193609965.0,2189308325.0,74052216834.0,509011.0,200315894452.0,48098886.0,5372929489.0,1120.0,,
