,machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
0,burrata,gcc,0,1,hyper,1,q1 hyper,7421.938,45979.41,4870.0,2.0,348454.0,137734081121.0,326313717186.0,,54150217.0,147413275306.0,880103492.0,,,82826075813.0,7161778.0,148736494114.0,57093912.0,49047632406.0,4933.0,,
1,burrata,gcc,0,1,vectorwise,1,q1 vectorwise,14146.294,86414.86,8822.0,0.0,348368.0,258932063428.0,552772147411.0,,81787494.0,219352920503.0,1781994204.0,,,142832903444.0,9029600.0,228923145686.0,79326784.0,106642428133.0,9106.0,,
2,burrata,clang,0,1,hyper,1,q1 hyper,43842.08,264858.59,26987.0,4.0,348430.0,793624915229.0,1047384173052.0,,56073199.0,375869668788.0,1062594284.0,,,263060415787.0,23897870.0,377051897921.0,67428148.0,153120168584.0,18674.0,,
3,burrata,clang,0,1,vectorwise,1,q1 vectorwise,14239.902,87024.77,9034.0,2.0,348367.0,260608058253.0,490810576337.0,,90639849.0,204970375934.0,1949859706.0,,,130218880315.0,11731410.0,213866543400.0,70731559.0,95923379542.0,13912.0,,
8,burrata,clang,0,1,hyper,2,q1 hyper,21904.676,264292.38,26300.0,0.0,348384.0,792065099731.0,1045353444245.0,,55924494.0,375455840136.0,1058735461.0,,,262389986314.0,21964421.0,376401580325.0,68100517.0,152322174261.0,10958.0,,
9,burrata,clang,0,1,vectorwise,2,q1 vectorwise,7190.176,88029.57,8881.0,1.0,352596.0,263662479300.0,490704085050.0,,90668858.0,204992684041.0,1922019453.0,,,130214255623.0,10572533.0,214143329195.0,64830895.0,95891021351.0,8616.0,,
10,burrata,gcc,0,1,hyper,2,q1 hyper,3718.683,46117.09,4715.0,0.0,348383.0,138032884598.0,326212907741.0,,54327619.0,147340790064.0,843695520.0,,,82789973979.0,5353074.0,148445747612.0,59863525.0,49060096844.0,5413.0,,
11,burrata,gcc,0,1,vectorwise,2,q1 vectorwise,7137.415,87357.13,8818.0,1.0,352482.0,261680329348.0,552550546688.0,,81941983.0,219269197332.0,1725439536.0,,,142794497832.0,8328796.0,229460386499.0,67420860.0,106759607310.0,9014.0,,
12,burrata,clang,1,1,hyper,2,q1 hyper,21879.247,264042.83,26541.0,0.0,348394.0,791267539571.0,1045281134868.0,,56075347.0,375392807725.0,639944771.0,,,262361547539.0,22563913.0,376433846156.0,66002388.0,152221058910.0,8975.0,,
13,burrata,clang,1,1,vectorwise,2,q1 vectorwise,7197.72,88144.6,8860.0,1.0,351960.0,264011821722.0,490573654588.0,,90453022.0,204888624779.0,1949210612.0,,,130169801518.0,10602195.0,214456178152.0,65018570.0,95943688552.0,9771.0,,
14,burrata,gcc,1,1,hyper,2,q1 hyper,3730.179,46275.4,4757.0,0.0,348387.0,138584533473.0,326219710147.0,,54273605.0,147367845843.0,870544945.0,,,82749743414.0,6706621.0,148787449506.0,57726665.0,49035571340.0,8904.0,,
15,burrata,gcc,1,1,vectorwise,2,q1 vectorwise,7134.348,87353.69,8803.0,1.0,352257.0,261615267242.0,552445639733.0,,81503870.0,219264108018.0,1708804375.0,,,142798017997.0,8410526.0,229217511744.0,70729139.0,106725054321.0,8267.0,,
16,burrata,clang,0,1,hyper,3,q1 hyper,14612.206,264522.54,26669.0,0.0,348434.0,792713783069.0,1045325935025.0,,56160863.0,375416613874.0,1062673462.0,,,262357834950.0,21756178.0,376399113279.0,65808055.0,152219321413.0,9077.0,,
17,burrata,clang,0,1,vectorwise,3,q1 vectorwise,4811.312,88277.99,8910.0,6.0,351035.0,264417624397.0,490817095089.0,,91141452.0,204967022119.0,1897755541.0,,,130264893395.0,10381884.0,214303229262.0,63062187.0,96004904119.0,10422.0,,
18,burrata,gcc,0,1,hyper,3,q1 hyper,2484.329,46283.5,4797.0,1.0,348427.0,138553609605.0,326268147236.0,,54420128.0,147342305498.0,883057309.0,,,82753642030.0,5844939.0,148267817547.0,59898595.0,49037352456.0,10752.0,,
19,burrata,gcc,0,1,vectorwise,3,q1 vectorwise,4770.714,87513.5,8809.0,6.0,351042.0,262133665806.0,552631505729.0,,82132534.0,219307817157.0,1707507629.0,,,142882037378.0,8157205.0,229796746263.0,64947513.0,106812980429.0,9764.0,,
20,burrata,clang,0,1,vectorwise,4,q1 vectorwise,3598.398,88044.97,9006.0,12.0,350456.0,263594191025.0,490902710719.0,,91211324.0,205068000944.0,1912552624.0,,,130277828341.0,10024287.0,213814568603.0,62610370.0,95900253917.0,11800.0,,
21,burrata,clang,0,1,hyper,4,q1 hyper,10952.601,264321.73,26554.0,0.0,348501.0,792013808935.0,1045381695495.0,,56181631.0,375482432206.0,1060109973.0,,,262352618980.0,21847029.0,376283435604.0,65717514.0,152214894154.0,13220.0,,
22,burrata,gcc,0,1,vectorwise,4,q1 vectorwise,3570.968,87334.21,8947.0,14.0,350248.0,261553992857.0,552848065089.0,,82596674.0,219379860912.0,1755968318.0,,,142882579725.0,8111081.0,229429319729.0,63560477.0,106715585159.0,12169.0,,
23,burrata,gcc,0,1,hyper,4,q1 hyper,1858.666,46136.15,4794.0,0.0,348489.0,137932081097.0,325809558910.0,,54397180.0,147215773946.0,865851000.0,,,82756196189.0,5557984.0,148713118162.0,57632963.0,49062713799.0,5999.0,,
24,burrata,clang,1,1,vectorwise,4,q1 vectorwise,3625.907,88716.94,9122.0,12.0,350306.0,265682966037.0,490961973893.0,,91189260.0,205022763763.0,1926468738.0,,,130215670574.0,10230456.0,214412604708.0,59583534.0,96030423992.0,13589.0,,
25,burrata,clang,1,1,hyper,4,q1 hyper,10950.921,264285.59,26325.0,0.0,348494.0,791892429466.0,1045258337377.0,,56055979.0,375377832348.0,1061975935.0,,,262356195078.0,21467107.0,376392960142.0,67978538.0,152366551061.0,6291.0,,
26,burrata,gcc,1,1,vectorwise,4,q1 vectorwise,3578.817,87561.37,9241.0,13.0,350272.0,262118999841.0,552749292873.0,,82849314.0,219376959050.0,1732887214.0,,,142882493884.0,8146067.0,229598562825.0,60644467.0,106769893127.0,15712.0,,
27,burrata,gcc,1,1,hyper,4,q1 hyper,1903.445,46491.69,4847.0,0.0,348497.0,139172348189.0,326245350768.0,,54464357.0,147292388833.0,874957373.0,,,82717248062.0,5188949.0,148248600491.0,60346906.0,48992669949.0,9639.0,,
28,burrata,clang,0,1,vectorwise,5,q1 vectorwise,2893.533,88513.06,9144.0,18.0,349901.0,265046174958.0,490971577653.0,,91710605.0,204935060033.0,1925280590.0,,,130261356308.0,10180807.0,214242057765.0,59238888.0,96025221686.0,14651.0,,
29,burrata,clang,0,1,hyper,5,q1 hyper,8770.709,264659.5,28209.0,0.0,348556.0,793070739829.0,1045336479619.0,,56361970.0,375399529071.0,1058809355.0,,,262340403710.0,21961648.0,376292342938.0,68943863.0,152232155440.0,22469.0,,
30,burrata,gcc,0,1,vectorwise,5,q1 vectorwise,2869.638,87755.1,9056.0,19.0,349892.0,262662628446.0,552885348235.0,,82706891.0,219400254656.0,1764782487.0,,,142905091770.0,8151824.0,229284613596.0,63100129.0,106716826422.0,13390.0,,
31,burrata,gcc,0,1,hyper,5,q1 hyper,1490.501,46289.28,4876.0,0.0,348550.0,138359255497.0,326107888019.0,,54492456.0,147350753246.0,873218714.0,,,82753070951.0,5667894.0,148353277039.0,59960279.0,48965088163.0,9570.0,,
32,burrata,clang,0,1,vectorwise,6,q1 vectorwise,2404.576,88273.79,9166.0,26.0,349550.0,264028541586.0,491032645604.0,,91363477.0,205075616907.0,1919544224.0,,,130313575699.0,10197202.0,214082956088.0,58719876.0,96012231348.0,17074.0,,
33,burrata,clang,0,1,hyper,6,q1 hyper,7306.527,264542.86,26928.0,2.0,348607.0,792615982156.0,1045336950184.0,,56397921.0,375407997368.0,1056834054.0,,,262340841888.0,21531328.0,376310087835.0,65153033.0,152206499745.0,17758.0,,
34,burrata,gcc,0,1,vectorwise,6,q1 vectorwise,2381.332,87404.56,9050.0,22.0,349627.0,261628354670.0,552955730352.0,,83364143.0,219333104714.0,1735722175.0,,,142882750451.0,8159413.0,229203648906.0,62108825.0,106735827774.0,12316.0,,
35,burrata,gcc,0,1,hyper,6,q1 hyper,1244.026,46337.85,5081.0,1.0,348605.0,138690455306.0,326387170551.0,,54571960.0,146987986327.0,874210747.0,,,82609695407.0,5860274.0,148723915774.0,57311523.0,49072211117.0,15281.0,,
36,burrata,clang,1,1,vectorwise,6,q1 vectorwise,2404.054,88250.39,9477.0,30.0,349759.0,264073968159.0,491235956320.0,,91294298.0,205078526393.0,1907264025.0,,,130269421921.0,10387377.0,214281222287.0,59875085.0,96013787513.0,25008.0,,
37,burrata,clang,1,1,hyper,6,q1 hyper,7312.365,264825.17,26546.0,2.0,348614.0,793455305898.0,1045289992690.0,,56202496.0,375362708859.0,1061628474.0,,,262315726610.0,20961213.0,376269665118.0,68455973.0,152230480166.0,16391.0,,
38,burrata,gcc,1,1,vectorwise,6,q1 vectorwise,2381.926,87398.88,9173.0,29.0,349717.0,261594308256.0,553021595015.0,,83216207.0,219359149152.0,1739240207.0,,,142880188969.0,8170449.0,229281471892.0,62680008.0,106827536788.0,19576.0,,
39,burrata,gcc,1,1,hyper,6,q1 hyper,1221.87,45552.23,4900.0,0.0,348602.0,136178544160.0,326174330141.0,,54521229.0,147239994560.0,283716926.0,,,82695270995.0,5607726.0,148277088698.0,60155395.0,48943080693.0,6287.0,,
40,burrata,clang,0,1,vectorwise,7,q1 vectorwise,2068.963,88616.92,9317.0,32.0,349891.0,265010178001.0,491182925783.0,,91771138.0,205081399735.0,1914373052.0,,,130221203333.0,10598064.0,214180203926.0,59273388.0,96016314748.0,19062.0,,
41,burrata,clang,0,1,hyper,7,q1 hyper,6264.665,264652.56,26749.0,0.0,348659.0,792854725356.0,1045365248262.0,,56223870.0,375263813013.0,1045438096.0,,,262338208838.0,21312233.0,376292099956.0,65115571.0,152208859336.0,15347.0,,
42,burrata,gcc,0,1,vectorwise,7,q1 vectorwise,2052.816,87885.19,9302.0,31.0,349836.0,262866921461.0,552801919591.0,,83586675.0,219370768805.0,1739295867.0,,,142929581268.0,8109009.0,229217253802.0,62272455.0,106611918108.0,19428.0,,
43,burrata,gcc,0,1,hyper,7,q1 hyper,1062.584,46195.11,5049.0,4.0,348653.0,138040554970.0,326317485514.0,,54566829.0,147479618709.0,876129780.0,,,82804724630.0,5542135.0,148101625547.0,60309961.0,48972583469.0,12616.0,,
44,burrata,clang,0,1,hyper,8,q1 hyper,5478.432,264452.26,26671.0,2.0,348718.0,792340974603.0,1045516243395.0,,56464179.0,375463705066.0,1059766290.0,,,262340638732.0,22017279.0,376263288378.0,68826596.0,152320578321.0,15064.0,,
45,burrata,clang,0,1,vectorwise,8,q1 vectorwise,1805.015,88360.52,9320.0,37.0,354403.0,264226386679.0,491178096576.0,,91743305.0,205134919119.0,1915239716.0,,,130335375442.0,10737376.0,213738951012.0,61757459.0,95984422352.0,15968.0,,
46,burrata,gcc,0,1,hyper,8,q1 hyper,931.923,46279.74,5087.0,0.0,348708.0,138386421034.0,326573023057.0,,54607589.0,147402624084.0,865008256.0,,,82723056759.0,5896072.0,148569959569.0,57381967.0,48964654885.0,13590.0,,
47,burrata,gcc,0,1,vectorwise,8,q1 vectorwise,1788.399,87568.2,9248.0,33.0,354038.0,261937096381.0,553438801569.0,,83666780.0,219415869548.0,1701136153.0,,,142946169295.0,8577875.0,229614438014.0,59718783.0,106872552736.0,7629.0,,
48,burrata,clang,1,1,vectorwise,8,q1 vectorwise,1809.845,88616.42,9339.0,39.0,356071.0,264443182530.0,490367897077.0,,91390486.0,205058121198.0,1917782279.0,,,130311896963.0,10887608.0,214337278032.0,61521832.0,95791932645.0,14819.0,,
49,burrata,clang,1,1,hyper,8,q1 hyper,5472.37,264183.18,26594.0,2.0,348723.0,791166018977.0,1045382902421.0,,56343741.0,375475189382.0,634762628.0,,,262393836478.0,21054270.0,376352952312.0,68289178.0,152215973137.0,14436.0,,
50,burrata,gcc,1,1,vectorwise,8,q1 vectorwise,1789.2,87623.06,9241.0,33.0,355715.0,262145929801.0,553199042480.0,,83397494.0,219250788615.0,1744704006.0,,,142838866130.0,8346417.0,229628569943.0,58730701.0,106899123950.0,6509.0,,
51,burrata,gcc,1,1,hyper,8,q1 hyper,937.375,46591.73,5259.0,2.0,348715.0,139363233644.0,326159050878.0,,54569063.0,146603033142.0,879814224.0,,,82502109416.0,5795117.0,148758168375.0,57875268.0,49107160230.0,14729.0,,
52,burrata,clang,0,1,vectorwise,9,q1 vectorwise,1612.876,88791.77,9383.0,38.0,349765.0,265622552486.0,491501191610.0,,91507791.0,205062407773.0,1922471031.0,,,130340726598.0,10616518.0,214079885972.0,61478667.0,96047133118.0,20009.0,,
53,burrata,clang,0,1,hyper,9,q1 hyper,4874.517,264741.8,26707.0,1.0,348821.0,792949992371.0,1045360582133.0,,56331712.0,375460866242.0,1059724394.0,,,262398642605.0,21089553.0,376360407774.0,68077536.0,152399190855.0,17079.0,,
54,burrata,gcc,0,1,vectorwise,9,q1 vectorwise,1598.811,87972.1,9645.0,42.0,349826.0,262826308275.0,553325713044.0,,83089047.0,219609401847.0,1711678440.0,,,143062190943.0,8496867.0,229602932900.0,59673138.0,106856712893.0,17564.0,,
55,burrata,gcc,0,1,hyper,9,q1 hyper,832.638,46529.48,5313.0,0.0,348805.0,139103807068.0,326380450551.0,,54545396.0,147268851932.0,868989409.0,,,82741346924.0,5493029.0,148104572452.0,60810474.0,49062131272.0,23107.0,,
56,burrata,clang,0,1,hyper,10,q1 hyper,4375.229,263971.71,26730.0,5.0,348891.0,790675544344.0,1045533179551.0,,56261270.0,375503739204.0,629728889.0,,,262370665544.0,20836605.0,376208238684.0,66107711.0,152307582364.0,15708.0,,
57,burrata,clang,0,1,vectorwise,10,q1 vectorwise,1454.871,88990.1,9492.0,50.0,350945.0,266012661111.0,491112037105.0,,92059135.0,204867057238.0,1923738100.0,,,130315654421.0,10664256.0,214579166474.0,61966404.0,96165948661.0,23113.0,,
58,burrata,gcc,0,1,hyper,10,q1 hyper,748.624,46477.07,5427.0,5.0,348862.0,138746108271.0,326345476775.0,,54599685.0,147506850273.0,881476116.0,,,82796687502.0,5924581.0,148187252126.0,60588833.0,48790729025.0,17451.0,,
59,burrata,gcc,0,1,vectorwise,10,q1 vectorwise,1436.886,87875.42,9377.0,47.0,350958.0,262783156193.0,553335690279.0,,83727554.0,219295835365.0,1742893140.0,,,142779683444.0,8412241.0,229471275346.0,59769303.0,106975834756.0,21883.0,,
60,burrata,clang,1,1,vectorwise,10,q1 vectorwise,1442.302,88297.75,9486.0,55.0,351239.0,263362136280.0,490683233035.0,,91837626.0,205039102521.0,1918883867.0,,,130364473220.0,10704310.0,214027834054.0,61322869.0,95985642121.0,28892.0,,
61,burrata,clang,1,1,hyper,10,q1 hyper,4388.967,264878.23,26878.0,3.0,348874.0,793403456017.0,1045342648705.0,,56339607.0,375312508177.0,1060638961.0,,,262328396819.0,21098460.0,376366438881.0,65405688.0,152230983405.0,15972.0,,
62,burrata,gcc,1,1,vectorwise,10,q1 vectorwise,1431.54,87593.99,9414.0,43.0,351088.0,261510400791.0,552840645028.0,,83880074.0,219339847867.0,1731095395.0,,,142939658971.0,8586101.0,229255276672.0,59691706.0,106896133191.0,25086.0,,
63,burrata,gcc,1,1,hyper,10,q1 hyper,752.535,46767.85,5355.0,0.0,348860.0,139641055391.0,326246136971.0,,54561011.0,147212315699.0,871604513.0,,,82659783567.0,5869215.0,148175579592.0,60462067.0,48983291999.0,15062.0,,
64,burrata,clang,0,1,vectorwise,11,q1 vectorwise,1323.521,89019.57,9590.0,56.0,349906.0,266122759349.0,491720052357.0,,92105477.0,205183883099.0,1927296974.0,,,130391958404.0,11144672.0,214067585860.0,61332358.0,95850707734.0,25960.0,,
65,burrata,clang,0,1,hyper,11,q1 hyper,3990.46,264824.82,27058.0,2.0,348954.0,793035006509.0,1045450801497.0,,56458122.0,375527466263.0,1060327097.0,,,262369140943.0,22330958.0,376192199551.0,65916296.0,152229918552.0,22060.0,,
66,burrata,gcc,0,1,vectorwise,11,q1 vectorwise,1293.708,86992.81,9350.0,53.0,349845.0,260128462205.0,553163135443.0,,83648295.0,219201500692.0,1725408956.0,,,142833439186.0,8574070.0,228977275930.0,63633295.0,106893135729.0,17895.0,,
67,burrata,gcc,0,1,hyper,11,q1 hyper,681.65,46552.86,5469.0,1.0,348938.0,138736134241.0,326339134084.0,,54729222.0,147390940019.0,870912752.0,,,82743989710.0,6254854.0,148275796297.0,59905942.0,48829751180.0,17289.0,,
68,burrata,clang,0,1,vectorwise,12,q1 vectorwise,1210.4,88797.63,9569.0,63.0,350485.0,264730804421.0,491343500292.0,,91964281.0,205159341129.0,1924814177.0,,,130501036994.0,10477494.0,214522729084.0,61787543.0,96108238928.0,35224.0,,
69,burrata,clang,0,1,hyper,12,q1 hyper,3654.895,264607.8,27153.0,4.0,348988.0,792419557315.0,1045434785843.0,,56400315.0,375168759074.0,1051700606.0,,,262259417235.0,21822280.0,376194827857.0,65386354.0,152266961096.0,14917.0,,
70,burrata,gcc,0,1,vectorwise,12,q1 vectorwise,1199.511,88020.24,9462.0,61.0,350611.0,262867519670.0,553751322272.0,,83371385.0,219540438737.0,1740564093.0,,,142972355844.0,8623197.0,229274765080.0,61672929.0,106793534741.0,24403.0,,
71,burrata,gcc,0,1,hyper,12,q1 hyper,623.579,46488.75,5467.0,1.0,348964.0,138643614617.0,326557432187.0,,54709824.0,147524999676.0,880813547.0,,,82780953353.0,6036651.0,148450584362.0,57503400.0,48891843180.0,17173.0,,
72,burrata,clang,1,1,vectorwise,12,q1 vectorwise,1211.585,88931.16,10038.0,65.0,350520.0,265016365902.0,490557184856.0,,91762083.0,204914238085.0,1935396482.0,,,130393411254.0,10574691.0,214694891373.0,60984421.0,96237539326.0,32028.0,,
73,burrata,clang,1,1,hyper,12,q1 hyper,3657.66,264894.02,27149.0,2.0,348992.0,793372251978.0,1045529314160.0,,56501447.0,375412743272.0,1054594571.0,,,262359947760.0,21884943.0,376272778757.0,65089946.0,152233476449.0,22785.0,,
74,burrata,gcc,1,1,vectorwise,12,q1 vectorwise,1201.711,88157.39,9530.0,55.0,350590.0,263313717252.0,553319531779.0,,83900421.0,219261822426.0,1750424496.0,,,143025295297.0,8871089.0,229652628760.0,62438307.0,107030741039.0,27017.0,,
75,burrata,gcc,1,1,hyper,12,q1 hyper,627.536,46774.48,5535.0,5.0,349001.0,139685701781.0,326416076608.0,,54586792.0,146950123607.0,858654444.0,,,82645336364.0,6143759.0,148693860710.0,57822088.0,49118662850.0,20077.0,,
