machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
burrata,gcc,0,1,hyper,1,q1 hyper,7421.938,45979.41,4870.0,2.0,348454.0,137734081121.0,326313717186.0,,54150217.0,147413275306.0,880103492.0,,,82826075813.0,7161778.0,148736494114.0,57093912.0,49047632406.0,4933.0,,
burrata,gcc,0,1,vectorwise,1,q1 vectorwise,14146.294,86414.86,8822.0,0.0,348368.0,258932063428.0,552772147411.0,,81787494.0,219352920503.0,1781994204.0,,,142832903444.0,9029600.0,228923145686.0,79326784.0,106642428133.0,9106.0,,
burrata,clang,0,1,hyper,1,q1 hyper,43842.08,264858.59,26987.0,4.0,348430.0,793624915229.0,1047384173052.0,,56073199.0,375869668788.0,1062594284.0,,,263060415787.0,23897870.0,377051897921.0,67428148.0,153120168584.0,18674.0,,
burrata,clang,0,1,vectorwise,1,q1 vectorwise,14239.902,87024.77,9034.0,2.0,348367.0,260608058253.0,490810576337.0,,90639849.0,204970375934.0,1949859706.0,,,130218880315.0,11731410.0,213866543400.0,70731559.0,95923379542.0,13912.0,,
burrata,clang,0,1,hyper,16,q1 hyper,2745.437,264940.6,27602.0,10.0,349266.0,792296634472.0,1044863262312.0,,56405487.0,375117321764.0,1059733279.0,,,262421340643.0,21536492.0,376350965607.0,66033124.0,152291669631.0,26312.0,,
burrata,clang,0,1,vectorwise,16,q1 vectorwise,912.978,89345.52,9942.0,80.0,357019.0,266364586713.0,492031711902.0,,92307981.0,204966079642.0,1927891286.0,,,130344557345.0,11444324.0,214335716187.0,60902188.0,96356194648.0,34324.0,,
burrata,gcc,0,1,hyper,16,q1 hyper,470.374,46711.05,5880.0,7.0,349277.0,139047667536.0,326527029688.0,,54861515.0,147417207186.0,880701526.0,,,82748641350.0,6122546.0,148172510701.0,58432263.0,48915215485.0,23236.0,,
burrata,gcc,0,1,vectorwise,16,q1 vectorwise,905.638,88626.97,10160.0,85.0,356506.0,263809989269.0,553132947372.0,,84415924.0,219078196667.0,1740485109.0,,,143239062558.0,9615050.0,229691071937.0,62034212.0,106882644235.0,41433.0,,
burrata,clang,0,1,hyper,32,q1 hyper,1381.401,266215.61,29362.0,23.0,350392.0,794325676992.0,1047720297614.0,,57132040.0,375951441289.0,1058993829.0,,,263095188657.0,23625897.0,376425345070.0,66831525.0,152904442892.0,52275.0,,
burrata,clang,0,1,vectorwise,32,q1 vectorwise,474.315,91565.5,11702.0,189.0,359337.0,269625406937.0,494499242426.0,,94152404.0,205775242069.0,1930589954.0,,,132044571649.0,13204264.0,215090641602.0,62383202.0,96623247167.0,69265.0,,
burrata,gcc,0,1,hyper,32,q1 hyper,241.896,48553.19,19194.0,11.0,350458.0,143563301677.0,335437681565.0,,55685390.0,148205133266.0,859185146.0,,,84532802531.0,7662290.0,148821891827.0,57822702.0,52277976596.0,37991.0,,
burrata,gcc,0,1,vectorwise,32,q1 vectorwise,467.331,90829.63,28063.0,192.0,359507.0,267223443793.0,556007096734.0,,85089508.0,220372664743.0,1758928179.0,,,144314401229.0,11486968.0,230162235425.0,62641059.0,108210865788.0,64915.0,,
burrata,clang,0,1,hyper,48,q1 hyper,931.042,268085.72,140450.0,41.0,351557.0,795400023274.0,1049307877972.0,,58895641.0,376183661018.0,1058441751.0,,,264246416371.0,35071660.0,376993291542.0,70890060.0,153710978930.0,69852.0,,
burrata,clang,0,1,vectorwise,48,q1 vectorwise,329.513,94548.67,19246.0,293.0,362090.0,278313240396.0,502705999445.0,,94217260.0,206462289743.0,1981312380.0,,,133167432895.0,14629532.0,219189552304.0,62112175.0,99034283930.0,62209.0,,
