machine,compiler,repetition,query,engine,threads,query_label,time_seconds,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
dubliner,gcc,0,1,hyper,1,q1 hyper,6214.079,40404.26,332.0,13.0,348578.0,112151694491.0,263046652742.0,29899943432.0,56530058.0,134350637180.0,2410619700.0,35961620.0,27545590.0,,11762255.0,134738336682.0,15903861.0,9418.0,483933.0,,
dubliner,gcc,0,1,vectorwise,1,q1 vectorwise,16718.801,103360.43,581.0,5.0,348547.0,257776892888.0,371234629813.0,44251263895.0,88326194.0,140601235657.0,7680244636.0,38622237.0,28840938.0,,35091888.0,140651652913.0,4798414.0,63839.0,693490.0,,
dubliner,gcc,0,1,hyper,2,q1 hyper,3127.626,40325.52,232.0,6.0,349212.0,112407032300.0,262275697676.0,29546970678.0,56142244.0,134426154895.0,2413105939.0,35906058.0,27401038.0,,10213476.0,135770876901.0,15277517.0,14433.0,71209.0,,
dubliner,gcc,0,1,vectorwise,2,q1 vectorwise,8311.312,103565.27,613.0,7.0,354449.0,258195924254.0,370172474126.0,44126072586.0,90817810.0,140194533157.0,7646442823.0,47841921.0,36778225.0,,30337807.0,140355871215.0,8388445.0,63094.0,714753.0,,
dubliner,gcc,0,1,hyper,3,q1 hyper,2169.311,40406.6,285.0,5.0,349388.0,112403535994.0,261420459551.0,29435973132.0,56071738.0,134342189507.0,2401459396.0,34524746.0,26168776.0,,10786665.0,134318169408.0,15890530.0,4111.0,61060.0,,
dubliner,gcc,0,1,vectorwise,3,q1 vectorwise,5571.016,103849.85,724.0,16.0,354260.0,258782901737.0,370644633784.0,44186018540.0,91268818.0,140415969934.0,7686906220.0,50766407.0,39875255.0,,29355335.0,140311958481.0,9136278.0,142785.0,690738.0,,
dubliner,gcc,0,1,vectorwise,5,q1 vectorwise,3347.961,103925.29,766.0,20.0,352652.0,259049137120.0,370672979575.0,44191285368.0,91536193.0,140433983535.0,7679878895.0,49536526.0,37985158.0,,27550245.0,140435514118.0,9313497.0,335003.0,605814.0,,
dubliner,gcc,0,1,hyper,5,q1 hyper,1277.848,41009.64,311.0,6.0,349708.0,114163895177.0,262092165445.0,29516456542.0,55993077.0,134396548803.0,2379528432.0,34054413.0,25653182.0,,10871284.0,134303969842.0,15597171.0,31937.0,66301.0,,
dubliner,gcc,0,1,vectorwise,6,q1 vectorwise,2768.797,103272.1,826.0,34.0,352537.0,257479723175.0,370431261824.0,44146333914.0,93486210.0,140209763998.0,7677349997.0,51472734.0,39375655.0,,28336534.0,140311100741.0,8699534.0,137615.0,644665.0,,
dubliner,gcc,0,1,hyper,6,q1 hyper,1051.981,40829.1,418.0,10.0,349614.0,113581251756.0,261687088159.0,29424025054.0,55862752.0,133262507034.0,2407437293.0,37786249.0,28209883.0,,10847758.0,133965725385.0,15902314.0,25912.0,69204.0,,
dubliner,gcc,0,1,hyper,8,q1 hyper,795.929,40934.26,533.0,19.0,349493.0,113189216070.0,260516851911.0,29359900328.0,56047665.0,133743496254.0,2415434291.0,34503729.0,25815534.0,,10861072.0,135885264647.0,15692421.0,31860.0,80328.0,,
